ftu,species_tag,age_tag,sex_tag,bmi_tag,age_yearold_tag,donor_record_count
liver lobule,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",6
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",6
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",6
pancreatic acinus,Homo sapiens,postnatal,male,Normal weight,"[30 years old, 35 years old)",6
white pulp of spleen,Homo sapiens,,,,,6
outer medullary collecting duct,Homo sapiens,others,female,Unknown,,6
descending limb of loop of Henle,Homo sapiens,,,,,5
nephron,Homo sapiens,unknown,female,,,5
nephron,Homo sapiens,postnatal,female,Unknown,others,5
intestinal villus,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",5
epidermal ridge of digit,Homo sapiens,prenatal,male,Unknown,,5
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
bronchus submucosal gland,Homo sapiens,others,male,,,5
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",5
outer medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",5
thymus lobule,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",5
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",5
liver lobule,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",5
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
nephron,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",5
pancreatic acinus,Homo sapiens,unknown,female,,,5
white pulp of spleen,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
loop of Henle ascending limb thin segment,Homo sapiens,others,female,Unknown,,5
descending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,<1 year old,5
intercalated duct of pancreas,Homo sapiens,unknown,others,,,5
red pulp of spleen,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",5
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",5
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",5
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
loop of Henle ascending limb thin segment,Homo sapiens,prenatal,female,Unknown,,5
prostate glandular acinus,Homo sapiens,unknown,male,Obesity,,5
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",5
nephron,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",5
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",5
islet of Langerhans,Homo sapiens,,others,,,5
islet of Langerhans,Homo sapiens,unknown,male,Obesity,,5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[40 years old, 45 years old)",5
white pulp of spleen,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",5
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",5
cortical collecting duct,Homo sapiens,others,male,Unknown,,5
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[20 years old, 25 years old)",5
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,others,5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
epidermal ridge of digit,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
prostate glandular acinus,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",5
islet of Langerhans,Homo sapiens,,female,Unknown,,5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",5
descending limb of loop of Henle,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",5
islet of Langerhans,Homo sapiens,,male,Unknown,,5
nephron,Homo sapiens,,others,Overweight,,5
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[60 years old, 65 years old)",5
liver lobule,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,,,,,5
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",5
thick ascending limb of loop of Henle,Homo sapiens,prenatal,female,Unknown,,5
alveolus of lung,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",5
nephron,Homo sapiens,postnatal,male,Unknown,"[85 years old, 90 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[25 years old, 30 years old)",5
red pulp of spleen,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",5
thymus lobule,Homo sapiens,postnatal,female,Unknown,"[40 years old, 45 years old)",5
renal corpuscle,Homo sapiens,unknown,others,,,5
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,female,Obesity,,5
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
prostate glandular acinus,Homo sapiens,unknown,others,Normal weight,,5
pancreatic acinus,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",5
islet of Langerhans,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",5
nephron,Homo sapiens,unknown,others,Unknown,,5
intestinal villus,Homo sapiens,unknown,female,Normal weight,,5
descending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[90 years old, 95 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",5
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",5
red pulp of spleen,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",5
renal corpuscle,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",5
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",5
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",5
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",5
nephron,Homo sapiens,unknown,others,Unknown,,5
renal corpuscle,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",5
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",5
prostate glandular acinus,Homo sapiens,unknown,female,Normal weight,,4
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",4
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[1 year old, 5 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
pancreatic acinus,Homo sapiens,,female,Unknown,,4
inner medullary collecting duct,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
liver lobule,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",4
white pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[25 years old, 30 years old)",4
nephron,Homo sapiens,others,others,Obesity,,4
liver lobule,Homo sapiens,unknown,others,Unknown,,4
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[40 years old, 45 years old)",4
liver lobule,Homo sapiens,unknown,female,Obesity,,4
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,others,4
white pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[40 years old, 45 years old)",4
renal corpuscle,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",4
liver lobule,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",4
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Normal weight,"[40 years old, 45 years old)",4
outer medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[10 years old, 15 years old)",4
descending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,others,4
nephron,Homo sapiens,others,male,Overweight,,4
prostate glandular acinus,Homo sapiens,unknown,female,,,4
pancreatic acinus,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",4
thick ascending limb of loop of Henle,Homo sapiens,,female,Unknown,,4
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,others,male,Overweight,,4
pancreatic acinus,Homo sapiens,,others,,,4
alveolus of lung,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",4
liver lobule,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",4
intestinal villus,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",4
cortical collecting duct,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",4
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",4
outer medullary collecting duct,Homo sapiens,,others,Unknown,,4
pancreatic acinus,Homo sapiens,unknown,male,Obesity,,4
descending limb of loop of Henle,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",4
descending limb of loop of Henle,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",4
nephron,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",4
nephron,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",4
pancreatic acinus,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",4
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",4
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",4
red pulp of spleen,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",4
pancreatic acinus,Homo sapiens,unknown,male,,,4
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[10 years old, 15 years old)",4
nephron,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",4
alveolus of lung,Homo sapiens,prenatal,female,Unknown,,4
renal corpuscle,Homo sapiens,postnatal,others,Unknown,others,4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,others,4
red pulp of spleen,Homo sapiens,unknown,others,Normal weight,,4
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[70 years old, 75 years old)",4
outer medullary collecting duct,Homo sapiens,postnatal,others,Unknown,others,4
thymus lobule,Homo sapiens,postnatal,female,Unknown,"[45 years old, 50 years old)",4
alveolus of lung,Homo sapiens,unknown,others,Normal weight,,4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",4
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
papillary layer of dermis,Homo sapiens,unknown,female,Normal weight,,4
cortical collecting duct,Homo sapiens,,male,Unknown,,4
bronchus submucosal gland,Homo sapiens,others,female,,,4
liver lobule,Homo sapiens,unknown,female,,,4
inner medullary collecting duct,Homo sapiens,postnatal,male,Unknown,"[35 years old, 40 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[40 years old, 45 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",4
liver lobule,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",4
white pulp of spleen,Homo sapiens,unknown,female,,,4
nephron,Homo sapiens,postnatal,male,Overweight,"[60 years old, 65 years old)",4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",4
loop of Henle ascending limb thin segment,Homo sapiens,others,male,,,4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",4
alveolus of lung,Homo sapiens,unknown,others,Unknown,,4
epidermal ridge of digit,Homo sapiens,unknown,male,Obesity,,4
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",4
epidermal ridge of digit,Homo sapiens,unknown,female,Overweight,,4
white pulp of spleen,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",4
thymus lobule,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",4
red pulp of spleen,Homo sapiens,unknown,female,,,4
alveolus of lung,Homo sapiens,prenatal,male,Unknown,,4
descending limb of loop of Henle,Homo sapiens,unknown,others,Unknown,,4
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[15 years old, 20 years old)",4
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,<1 year old,4
descending limb of loop of Henle,Homo sapiens,others,male,Overweight,,4
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[5 years old, 10 years old)",4
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[25 years old, 30 years old)",4
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",4
prostate glandular acinus,Homo sapiens,unknown,others,Overweight,,4
outer medullary collecting duct,Homo sapiens,postnatal,female,Unknown,"[55 years old, 60 years old)",4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,male,,,4
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[65 years old, 70 years old)",4
alveolus of lung,Homo sapiens,postnatal,male,Unknown,"[75 years old, 80 years old)",4
descending limb of loop of Henle,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",4
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",4
liver lobule,Homo sapiens,,,,,4
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",4
red pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[25 years old, 30 years old)",4
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[80 years old, 85 years old)",4
cortical collecting duct,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",4
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[30 years old, 35 years old)",4
crypt of Lieberkuhn of large intestine,Homo sapiens,,others,Unknown,,4
red pulp of spleen,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",4
intestinal villus,Homo sapiens,unknown,others,Overweight,,4
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[5 years old, 10 years old)",4
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",4
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Overweight,"[45 years old, 50 years old)",4
thymus lobule,Homo sapiens,postnatal,others,Unknown,others,4
prostate glandular acinus,Homo sapiens,unknown,male,,,3
intestinal villus,Homo sapiens,,,,,3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",3
papillary layer of dermis,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",3
thymus lobule,Homo sapiens,postnatal,female,Unknown,"[50 years old, 55 years old)",3
descending limb of loop of Henle,Homo sapiens,unknown,female,Obesity,,3
epidermal ridge of digit,Homo sapiens,others,others,Normal weight,,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Underweight,"[10 years old, 15 years old)",3
red pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",3
liver lobule,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",3
pancreatic acinus,Homo sapiens,postnatal,others,Unknown,"[75 years old, 80 years old)",3
prostate glandular acinus,Homo sapiens,unknown,female,Overweight,,3
outer medullary collecting duct,Homo sapiens,others,male,Unknown,,3
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[95 years old, 100 years old)",3
epidermal ridge of digit,Homo sapiens,,female,,,3
thymus lobule,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[25 years old, 30 years old)",3
inner medullary collecting duct,Homo sapiens,prenatal,male,Unknown,,3
epidermal ridge of digit,Homo sapiens,postnatal,male,Overweight,"[35 years old, 40 years old)",3
islet of Langerhans,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",3
nephron,Homo sapiens,,others,Normal weight,,3
liver lobule,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",3
prostate glandular acinus,Homo sapiens,,male,,,3
epidermal ridge of digit,Homo sapiens,postnatal,male,,"[45 years old, 50 years old)",3
cortical collecting duct,Homo sapiens,prenatal,male,Unknown,,3
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,female,Unknown,"[35 years old, 40 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,others,female,Normal weight,,3
prostate glandular acinus,Homo sapiens,postnatal,female,Unknown,"[75 years old, 80 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,"[15 years old, 20 years old)",3
descending limb of loop of Henle,Homo sapiens,postnatal,male,Normal weight,"[20 years old, 25 years old)",3
islet of Langerhans,Homo sapiens,postnatal,female,,"[30 years old, 35 years old)",3
intercalated duct of pancreas,Homo sapiens,others,male,,,3
pancreatic acinus,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",3
thymus lobule,Homo sapiens,,male,Unknown,,3
islet of Langerhans,Homo sapiens,postnatal,male,,"[40 years old, 45 years old)",3
papillary layer of dermis,Homo sapiens,,others,Normal weight,,3
red pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[45 years old, 50 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,unknown,others,Obesity,,3
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",3
intercalated duct of pancreas,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",3
outer medullary collecting duct,Homo sapiens,prenatal,male,Unknown,,3
papillary layer of dermis,Homo sapiens,unknown,others,Unknown,,3
red pulp of spleen,Homo sapiens,postnatal,others,Unknown,>=100 years old,3
bronchus submucosal gland,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",3
alveolus of lung,Homo sapiens,postnatal,others,Unknown,>=100 years old,3
inner medullary collecting duct,Homo sapiens,postnatal,female,Normal weight,"[30 years old, 35 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,male,Unknown,others,3
white pulp of spleen,Homo sapiens,others,male,Overweight,,3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,others,Unknown,"[20 years old, 25 years old)",3
renal corpuscle,Homo sapiens,postnatal,male,Unknown,"[40 years old, 45 years old)",3
intestinal villus,Homo sapiens,others,others,,,3
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[1 year old, 5 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,male,Obesity,"[40 years old, 45 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,others,Overweight,"[65 years old, 70 years old)",3
prostate glandular acinus,Homo sapiens,others,male,Overweight,,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Obesity,"[40 years old, 45 years old)",3
thymus lobule,Homo sapiens,,female,Unknown,,3
thymus lobule,Homo sapiens,others,male,,,3
thymus lobule,Homo sapiens,others,female,,,3
prostate glandular acinus,Homo sapiens,,others,,,3
prostate glandular acinus,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,unknown,female,,,3
renal corpuscle,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",3
white pulp of spleen,Homo sapiens,unknown,male,,,3
thymus lobule,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",3
crypt of Lieberkuhn of large intestine,Homo sapiens,unknown,male,Obesity,,3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,female,Unknown,"[5 years old, 10 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,male,Unknown,<1 year old,3
white pulp of spleen,Homo sapiens,postnatal,male,Overweight,"[40 years old, 45 years old)",3
intestinal villus,Homo sapiens,postnatal,male,Overweight,"[30 years old, 35 years old)",3
islet of Langerhans,Homo sapiens,unknown,others,Underweight,,3
white pulp of spleen,Homo sapiens,unknown,others,Overweight,,3
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",3
epidermal ridge of digit,Homo sapiens,postnatal,female,Normal weight,"[40 years old, 45 years old)",3
epidermal ridge of digit,Homo sapiens,others,male,Overweight,,3
papillary layer of dermis,Homo sapiens,postnatal,male,Unknown,"[95 years old, 100 years old)",3
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,"[55 years old, 60 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",3
inner medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[70 years old, 75 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,postnatal,others,Unknown,"[15 years old, 20 years old)",3
renal corpuscle,Homo sapiens,postnatal,female,Unknown,"[30 years old, 35 years old)",3
islet of Langerhans,Homo sapiens,unknown,male,,,3
red pulp of spleen,Homo sapiens,unknown,female,Overweight,,3
papillary layer of dermis,Homo sapiens,postnatal,male,Obesity,"[60 years old, 65 years old)",3
white pulp of spleen,Homo sapiens,postnatal,others,Unknown,>=100 years old,3
bronchus submucosal gland,Homo sapiens,,female,Unknown,,3
white pulp of spleen,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",3
red pulp of spleen,Homo sapiens,unknown,male,,,3
prostate glandular acinus,Homo sapiens,,female,,,3
epidermal ridge of digit,Homo sapiens,postnatal,female,Overweight,"[35 years old, 40 years old)",3
nephron,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",3
islet of Langerhans,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",3
intestinal villus,Homo sapiens,,others,,,3
nephron,Homo sapiens,,others,,,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,,"[40 years old, 45 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[70 years old, 75 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,unknown,male,,,3
nephron,Homo sapiens,postnatal,female,Overweight,"[45 years old, 50 years old)",3
alveolus of lung,Homo sapiens,postnatal,others,Unknown,"[35 years old, 40 years old)",3
nephron,Homo sapiens,postnatal,female,Normal weight,"[20 years old, 25 years old)",3
nephron,Homo sapiens,,female,,,3
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",3
pancreatic acinus,Homo sapiens,prenatal,female,Unknown,,3
outer medullary collecting duct,Homo sapiens,postnatal,male,,"[30 years old, 35 years old)",3
cortical collecting duct,Homo sapiens,postnatal,female,Unknown,"[80 years old, 85 years old)",3
intercalated duct of pancreas,Homo sapiens,others,female,,,3
liver lobule,Homo sapiens,prenatal,female,Unknown,,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,others,3
nephron,Homo sapiens,others,male,Obesity,,3
intestinal villus,Homo sapiens,postnatal,male,Unknown,"[85 years old, 90 years old)",3
red pulp of spleen,Homo sapiens,others,others,,,3
liver lobule,Homo sapiens,postnatal,female,Overweight,"[30 years old, 35 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[30 years old, 35 years old)",3
nephron,Homo sapiens,postnatal,male,Normal weight,"[45 years old, 50 years old)",3
liver lobule,Homo sapiens,postnatal,others,Unknown,"[80 years old, 85 years old)",3
intestinal villus,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",3
bronchus submucosal gland,Homo sapiens,postnatal,others,Unknown,"[50 years old, 55 years old)",3
outer medullary collecting duct,Homo sapiens,postnatal,others,Unknown,"[1 year old, 5 years old)",3
prostate glandular acinus,Homo sapiens,postnatal,male,Unknown,"[55 years old, 60 years old)",3
red pulp of spleen,Homo sapiens,postnatal,male,Overweight,"[40 years old, 45 years old)",3
thick ascending limb of loop of Henle,Homo sapiens,unknown,others,Obesity,,3
islet of Langerhans,Homo sapiens,postnatal,female,,"[20 years old, 25 years old)",3
liver lobule,Homo sapiens,postnatal,others,Unknown,"[85 years old, 90 years old)",3
cortical collecting duct,Homo sapiens,,female,Unknown,,3
crypt of Lieberkuhn of large intestine,Homo sapiens,postnatal,female,Unknown,"[90 years old, 95 years old)",3
loop of Henle ascending limb thin segment,Homo sapiens,postnatal,male,Unknown,"[50 years old, 55 years old)",3
thymus lobule,Homo sapiens,postnatal,female,Unknown,"[60 years old, 65 years old)",3
epidermal ridge of digit,Homo sapiens,others,others,Unknown,,2
white pulp of spleen,Homo sapiens,postnatal,female,Unknown,"[85 years old, 90 years old)",2
alveolus of lung,Homo sapiens,postnatal,others,,"[5 years old, 10 years old)",2
epidermal ridge of digit,Homo sapiens,unknown,female,Normal weight,,2
