"ftu","pmcid","graphic","value_new","standard_unit"
"thick ascending limb of loop of Henle","PMC8714958","fbioe-09-796157-g005","1","mm"
"white pulp of spleen","PMC8740479","12951_2021_1228_Fig2_HTML","100","um"
"red pulp of spleen","PMC8740479","12951_2021_1228_Fig2_HTML","100","um"
"liver lobule","PMC8750042","antioxidants-10-01933-g003","50","um"
"liver lobule","PMC8750042","antioxidants-10-01933-g003","100","um"
"papillary layer of dermis","PMC8780332","pharmaceutics-14-00151-g001","200","um"
"red pulp of spleen","PMC8841964","fphar-13-790712-g001","50","um"
"red pulp of spleen","PMC8841964","fphar-13-790712-g001","100","um"
"nephron","PMC8461962","12915_2021_1149_Fig1_HTML","50","um"
"nephron","PMC8461962","12915_2021_1149_Fig1_HTML","500","um"
"nephron","PMC8461962","12915_2021_1149_Fig1_HTML","50","um"
"nephron","PMC8470383","genes-12-01459-g001","100","um"
"nephron","PMC8470383","genes-12-01459-g001","100","um"
"nephron","PMC8470383","genes-12-01459-g001","100","um"
"nephron","PMC8470383","genes-12-01459-g001","10","um"
"descending limb of loop of Henle","PMC8476815","dmm-14-047464-g2","50","um"
"nephron","PMC8476815","dmm-14-047464-g2","50","um"
"crypt of Lieberkuhn of large intestine","PMC8487498","40168_2021_1128_Fig3_HTML","100","um"
"intestinal villus","PMC8487498","40168_2021_1128_Fig3_HTML","100","um"
"descending limb of loop of Henle","PMC8494640","41586_2021_3465_Fig7_ESM","20","um"
"descending limb of loop of Henle","PMC8494640","41586_2021_3465_Fig7_ESM","100","um"
"intestinal villus","PMC8514949","fimmu-12-756321-g007","2","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"nephron","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"nephron","PMC8528753","424_2021_2608_Fig9_HTML","100","um"
"descending limb of loop of Henle","PMC8589310","sciadv.abj5445-f4","50","um"
"descending limb of loop of Henle","PMC8589310","sciadv.abj5445-f4","200","um"
"crypt of Lieberkuhn of large intestine","PMC8622973","life-11-01155-g003","50","um"
"papillary layer of dermis","PMC8692949","fncel-15-799151-g001","100","um"
"papillary layer of dermis","PMC8733561","fnana-15-786729-g007","2","um"
"papillary layer of dermis","PMC8733561","fnana-15-786729-g007","1.5","um"
"papillary layer of dermis","PMC8733561","fnana-15-786729-g007","0.7","um"
"papillary layer of dermis","PMC8733561","fnana-15-786729-g007","0.3","um"
"descending limb of loop of Henle","PMC8797791","sciadv.abh4423-f5","50","um"
"descending limb of loop of Henle","PMC8797791","sciadv.abh4423-f5","50","um"
"descending limb of loop of Henle","PMC8797791","sciadv.abh4423-f5","100","um"
"epidermal ridge of digit","PMC8797791","sciadv.abh4423-f5","50","um"
"epidermal ridge of digit","PMC8797791","sciadv.abh4423-f5","50","um"
"epidermal ridge of digit","PMC8797791","sciadv.abh4423-f5","100","um"
"papillary layer of dermis","PMC8812907","pone.0263083.g004","50","um"
"papillary layer of dermis","PMC8812907","pone.0263083.g004","100","um"
"alveolus of lung","PMC8463074","elife-66417-fig1","20","um"
"intestinal villus","PMC8463074","elife-66417-fig1","20","um"
"intestinal villus","PMC8468919","ijms-22-09911-g002","200","um"
"thick ascending limb of loop of Henle","PMC8483738","elife-66231-fig4-figsupp1","1","mm"
"thick ascending limb of loop of Henle","PMC8483738","elife-66231-fig4-figsupp1","500","um"
"white pulp of spleen","PMC8497714","fphys-12-724098-g003","200","um"
"red pulp of spleen","PMC8497714","fphys-12-724098-g003","200","um"
"intestinal villus","PMC8520520","10544_2021_591_Fig3_HTML","50","um"
"intestinal villus","PMC8520520","10544_2021_591_Fig3_HTML","10","um"
"intestinal villus","PMC8551217","gr8","100","um"
"intestinal villus","PMC8551217","gr8","10","um"
"nephron","PMC8614713","antioxidants-10-01724-g001","50","um"
"nephron","PMC8658012","ijms-22-12735-g009","50","um"
"prostate glandular acinus","PMC8658012","ijms-22-12735-g009","50","um"
"liver lobule","PMC8662995","fphar-12-694607-g002","250","um"
"liver lobule","PMC8662995","fphar-12-694607-g002","25","um"
"islet of Langerhans","PMC8683199","JDR2021-9534574.003","100","um"
"islet of Langerhans","PMC8683199","JDR2021-9534574.003","0.5","um"
"red pulp of spleen","PMC8683199","JDR2021-9534574.003","100","um"
"red pulp of spleen","PMC8683199","JDR2021-9534574.003","0.5","um"
"intestinal villus","PMC8710746","fphar-12-718147-g010","500","um"
"intestinal villus","PMC8710746","fphar-12-718147-g010","100","um"
"nephron","PMC8710746","fphar-12-718147-g010","500","um"
"nephron","PMC8710746","fphar-12-718147-g010","100","um"
"crypt of Lieberkuhn of large intestine","PMC8710746","fphar-12-718147-g010","500","um"
"crypt of Lieberkuhn of large intestine","PMC8710746","fphar-12-718147-g010","100","um"
"epidermal ridge of digit","PMC8748672","41598_2021_3855_Fig7_HTML","100","um"
"nephron","PMC8807455","395_2022_911_Fig5_HTML","20","um"
"liver lobule","PMC8827057","41420_2022_846_Fig3_HTML","50","um"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","100","um"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","50","um"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","50","um"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","2","mm"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","100","um"
"epidermal ridge of digit","PMC8482124","jdb-09-00036-g002","100","um"
"nephron","PMC8494884","41598_2021_99307_Fig5_HTML","10","um"
"epidermal ridge of digit","PMC8530015","fimmu-12-758410-g003","10","um"
"nephron","PMC8533388","biomedicines-09-01300-g008","50","um"
"nephron","PMC8533388","biomedicines-09-01300-g008","50","um"
"liver lobule","PMC8533388","biomedicines-09-01300-g008","50","um"
"liver lobule","PMC8533388","biomedicines-09-01300-g008","50","um"
"epidermal ridge of digit","PMC8541313","ijms-22-11175-g002","200","um"
"epidermal ridge of digit","PMC8541313","ijms-22-11175-g002","100","um"
"epidermal ridge of digit","PMC8541313","ijms-22-11175-g002","100","um"
"pancreatic acinus","PMC8553451","BMRI2021-2641068.005","30","um"
"descending limb of loop of Henle","PMC8593333","fnana-15-763298-g004","1000","um"
"papillary layer of dermis","PMC8627657","peerj-09-12559-g003","50","um"
"papillary layer of dermis","PMC8627657","peerj-09-12559-g003","100","um"
"nephron","PMC8712948","fonc-11-783856-g001","100","um"
"red pulp of spleen","PMC8758693","41598_2021_4453_Fig1_HTML","100","um"
"white pulp of spleen","PMC8772703","animals-12-00179-g003","10","um"
"intestinal villus","PMC8772703","animals-12-00179-g003","10","um"
"crypt of Lieberkuhn of large intestine","PMC8772703","animals-12-00179-g003","10","um"
"nephron","PMC8776186","ijms-23-00848-g006","5","um"
"nephron","PMC8776186","ijms-23-00848-g006","10","um"
"red pulp of spleen","PMC8786781","12035_2021_2601_Fig3_HTML","200","um"
"nephron","PMC8842593","ijpr-20-300-g005","200","um"
"red pulp of spleen","PMC8842593","ijpr-20-300-g005","200","um"
"white pulp of spleen","PMC8842593","ijpr-20-300-g005","200","um"
"crypt of Lieberkuhn of large intestine","PMC8452975","fimmu-12-689484-g002","20","um"
"white pulp of spleen","PMC8468928","cells-10-02491-g001","100","um"
"red pulp of spleen","PMC8468928","cells-10-02491-g001","100","um"
"cortical collecting duct","PMC8525323","PHY2-9-e15080-g007","10","um"
"inner medullary collecting duct","PMC8525323","PHY2-9-e15080-g007","10","um"
"nephron","PMC8525323","PHY2-9-e15080-g007","10","um"
"islet of Langerhans","PMC8534692","cells-10-02787-g001","0.8","mm"
"islet of Langerhans","PMC8534692","cells-10-02787-g001","0.3","mm"
"pancreatic acinus","PMC8534692","cells-10-02787-g001","0.8","mm"
"pancreatic acinus","PMC8534692","cells-10-02787-g001","0.3","mm"
"nephron","PMC8553343","elife-70471-fig2-figsupp6","25","um"
"islet of Langerhans","PMC8621455","ijms-22-12250-g003","100","um"
"islet of Langerhans","PMC8621455","ijms-22-12250-g003","20","um"
"islet of Langerhans","PMC8621455","ijms-22-12250-g003","20","um"
"islet of Langerhans","PMC8621455","ijms-22-12250-g003","100","um"
"cortical collecting duct","PMC8621455","ijms-22-12250-g003","100","um"
"cortical collecting duct","PMC8621455","ijms-22-12250-g003","20","um"
"cortical collecting duct","PMC8621455","ijms-22-12250-g003","20","um"
"cortical collecting duct","PMC8621455","ijms-22-12250-g003","100","um"
"nephron","PMC8621455","ijms-22-12250-g003","100","um"
"nephron","PMC8621455","ijms-22-12250-g003","20","um"
"nephron","PMC8621455","ijms-22-12250-g003","20","um"
"nephron","PMC8621455","ijms-22-12250-g003","100","um"
"inner medullary collecting duct","PMC8621455","ijms-22-12250-g003","100","um"
"inner medullary collecting duct","PMC8621455","ijms-22-12250-g003","20","um"
"inner medullary collecting duct","PMC8621455","ijms-22-12250-g003","20","um"
"inner medullary collecting duct","PMC8621455","ijms-22-12250-g003","100","um"
"papillary layer of dermis","PMC8621455","ijms-22-12250-g003","100","um"
"papillary layer of dermis","PMC8621455","ijms-22-12250-g003","20","um"
"papillary layer of dermis","PMC8621455","ijms-22-12250-g003","20","um"
"papillary layer of dermis","PMC8621455","ijms-22-12250-g003","100","um"
"pancreatic acinus","PMC8621455","ijms-22-12250-g003","100","um"
"pancreatic acinus","PMC8621455","ijms-22-12250-g003","20","um"
"pancreatic acinus","PMC8621455","ijms-22-12250-g003","20","um"
"pancreatic acinus","PMC8621455","ijms-22-12250-g003","100","um"
"epidermal ridge of digit","PMC8656468","cancers-13-05950-g004","500","um"
"epidermal ridge of digit","PMC8656468","cancers-13-05950-g004","50","um"
"islet of Langerhans","PMC8657703","ijms-22-12981-g001","1","mm"
"islet of Langerhans","PMC8657703","ijms-22-12981-g001","100","um"
"nephron","PMC8657703","ijms-22-12981-g001","1","mm"
"nephron","PMC8657703","ijms-22-12981-g001","100","um"
"pancreatic acinus","PMC8657703","ijms-22-12981-g001","1","mm"
"pancreatic acinus","PMC8657703","ijms-22-12981-g001","100","um"
"islet of Langerhans","PMC8657725","ijms-22-12820-g010","50","um"
"islet of Langerhans","PMC8657725","ijms-22-12820-g010","100","um"
"epidermal ridge of digit","PMC8657725","ijms-22-12820-g010","50","um"
"epidermal ridge of digit","PMC8657725","ijms-22-12820-g010","100","um"
"red pulp of spleen","PMC8658470","ijms-22-13130-g003","50","um"
"papillary layer of dermis","PMC8699869","diagnostics-11-02351-g001","600","um"
"papillary layer of dermis","PMC8699869","diagnostics-11-02351-g001","600","um"
"crypt of Lieberkuhn of large intestine","PMC8708673","toxins-13-00902-g001","20","um"
"crypt of Lieberkuhn of large intestine","PMC8708673","toxins-13-00902-g001","100","um"
"intestinal villus","PMC8728975","40104_2021_651_Fig1_HTML","1000","um"
"intestinal villus","PMC8728975","40104_2021_651_Fig1_HTML","1000","um"
"crypt of Lieberkuhn of large intestine","PMC8728975","40104_2021_651_Fig1_HTML","1000","um"
"crypt of Lieberkuhn of large intestine","PMC8728975","40104_2021_651_Fig1_HTML","1000","um"
"nephron","PMC8740220","fcell-09-781792-g007","50","um"
"nephron","PMC8740220","fcell-09-781792-g007","50","um"
"epidermal ridge of digit","PMC8760330","41598_2021_4539_Fig2_HTML","10","um"
"white pulp of spleen","PMC8786184","pbio.3001513.g004","5","um"
"red pulp of spleen","PMC8786184","pbio.3001513.g004","5","um"
"red pulp of spleen","PMC8468365","jpm-11-00915-g003","100","um"
"alveolus of lung","PMC8474794","13058_2021_1470_Fig1_HTML","50","um"
"alveolus of lung","PMC8474794","13058_2021_1470_Fig1_HTML","50","um"
"alveolus of lung","PMC8474794","13058_2021_1470_Fig1_HTML","250","um"
"alveolus of lung","PMC8474794","13058_2021_1470_Fig1_HTML","250","um"
"pancreatic acinus","PMC8474794","13058_2021_1470_Fig1_HTML","50","um"
"pancreatic acinus","PMC8474794","13058_2021_1470_Fig1_HTML","50","um"
"pancreatic acinus","PMC8474794","13058_2021_1470_Fig1_HTML","250","um"
"pancreatic acinus","PMC8474794","13058_2021_1470_Fig1_HTML","250","um"
"crypt of Lieberkuhn of large intestine","PMC8511480","fnins-15-647555-g001","60",""
"crypt of Lieberkuhn of large intestine","PMC8511480","fnins-15-647555-g001","0.5","cm"
"crypt of Lieberkuhn of large intestine","PMC8525869","ji2100220f1","100","um"
"papillary layer of dermis","PMC8582793","cancers-13-05553-g002","100","um"
"white pulp of spleen","PMC8614503","animals-11-03183-g003","50","um"
"red pulp of spleen","PMC8614503","animals-11-03183-g003","50","um"
"papillary layer of dermis","PMC8628733","gels-07-00218-g006","500","um"
"thick ascending limb of loop of Henle","PMC8750270","antioxidants-10-01910-g002","50","um"
"thick ascending limb of loop of Henle","PMC8750270","antioxidants-10-01910-g002","50","um"
"crypt of Lieberkuhn of large intestine","PMC8778470","nutrients-14-00344-g005","5","um"
"nephron","PMC8800605","NP2022-6404964.004","200","nm"
"intestinal villus","PMC8833935","cells-11-00335-g002","100","um"
"crypt of Lieberkuhn of large intestine","PMC8465254","pharmaceutics-13-01354-g012","50","um"
"liver lobule","PMC8469335","animals-11-02534-g003","100","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","10","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","10","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","40","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","30","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","30","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","150","um"
"papillary layer of dermis","PMC8492311","jciinsight-6-142577-g224","10","um"
"nephron","PMC8492340","jciinsight-6-143472-g232","2","um"
"nephron","PMC8492340","jciinsight-6-143472-g232","10","um"
"white pulp of spleen","PMC8497714","fphys-12-724098-g005","10","um"
"red pulp of spleen","PMC8497714","fphys-12-724098-g005","10","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"nephron","PMC8528753","424_2021_2608_Fig5_HTML","50","um"
"nephron","PMC8528753","424_2021_2608_Fig5_HTML","30","um"
"nephron","PMC8528753","424_2021_2608_Fig5_HTML","200","um"
"nephron","PMC8528753","424_2021_2608_Fig5_HTML","100","um"
"nephron","PMC8531394","41598_2021_354_Fig2_HTML","100","um"
"liver lobule","PMC8651617","fphar-12-764282-g002","50","um"
"epidermal ridge of digit","PMC8651617","fphar-12-764282-g002","50","um"
"intestinal villus","PMC8660075","fimmu-12-771826-g002","100","um"
"cortical collecting duct","PMC8660075","fimmu-12-771826-g002","100","um"
"crypt of Lieberkuhn of large intestine","PMC8660075","fimmu-12-771826-g002","100","um"
"inner medullary collecting duct","PMC8674656","fphys-12-725172-g005","10","um"
"cortical collecting duct","PMC8674656","fphys-12-725172-g005","10","um"
"intestinal villus","PMC8705424","nutrients-13-04257-g004","50","um"
"nephron","PMC8786916","fcell-09-809962-g001","200","um"
"nephron","PMC8834155","cells-11-00397-g004","50","um"
"descending limb of loop of Henle","PMC8458499","41467_2021_25837_Fig3_HTML","50","um"
"intestinal villus","PMC8472614","foods-10-02117-g003","25","um"
"crypt of Lieberkuhn of large intestine","PMC8472614","foods-10-02117-g003","25","um"
"alveolus of lung","PMC8474794","13058_2021_1470_Fig3_HTML","100","um"
"pancreatic acinus","PMC8474794","13058_2021_1470_Fig3_HTML","100","um"
"white pulp of spleen","PMC8489400","d1mh00937k-f4","80","um"
"white pulp of spleen","PMC8489400","d1mh00937k-f4","20","um"
"red pulp of spleen","PMC8489400","d1mh00937k-f4","80","um"
"red pulp of spleen","PMC8489400","d1mh00937k-f4","20","um"
"descending limb of loop of Henle","PMC8489414","peerj-09-12160-g013","100","um"
"papillary layer of dermis","PMC8495008","fimmu-12-717688-g003","50","um"
"crypt of Lieberkuhn of large intestine","PMC8511480","fnins-15-647555-g003","20","um"
"crypt of Lieberkuhn of large intestine","PMC8511480","fnins-15-647555-g003","20","um"
"crypt of Lieberkuhn of large intestine","PMC8511480","fnins-15-647555-g003","20","um"
"nephron","PMC8528810","42003_2021_2732_Fig3_HTML","100","um"
"epidermal ridge of digit","PMC8555532","IPHB_A_1993272_F0002_C","200","um"
"papillary layer of dermis","PMC8613400","41377_2021_679_Fig2_HTML","1","mm"
"red pulp of spleen","PMC8663579","jciinsight-6-148719-g024","200","um"
"white pulp of spleen","PMC8663579","jciinsight-6-148719-g024","200","um"
"epidermal ridge of digit","PMC8716110","elife-68584-fig5-figsupp1","500","um"
"epidermal ridge of digit","PMC8716110","elife-68584-fig5-figsupp1","500","um"
"crypt of Lieberkuhn of large intestine","PMC8751630","fncel-15-807170-g0001","500","um"
"crypt of Lieberkuhn of large intestine","PMC8751630","fncel-15-807170-g0001","500","um"
"nephron","PMC8762064","gr3","50","um"
"crypt of Lieberkuhn of large intestine","PMC8774284","biomolecules-12-00052-g001","20","um"
"crypt of Lieberkuhn of large intestine","PMC8774284","biomolecules-12-00052-g001","20","um"
"descending limb of loop of Henle","PMC8789279","elife-71689-fig1-figsupp2","50","um"
"descending limb of loop of Henle","PMC8789279","elife-71689-fig1-figsupp2","20","um"
"descending limb of loop of Henle","PMC8789279","elife-71689-fig1-figsupp2","20","um"
"descending limb of loop of Henle","PMC8789279","elife-71689-fig1-figsupp2","50","um"
"papillary layer of dermis","PMC8789279","elife-71689-fig1-figsupp2","50","um"
"papillary layer of dermis","PMC8789279","elife-71689-fig1-figsupp2","20","um"
"papillary layer of dermis","PMC8789279","elife-71689-fig1-figsupp2","20","um"
"papillary layer of dermis","PMC8789279","elife-71689-fig1-figsupp2","50","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","10","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","20","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","20","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","20","um"
"bronchus submucosal gland","PMC8795386","41598_2022_5446_Fig1_HTML","20","um"
"nephron","PMC8809891","elife-73114-fig4","10","um"
"nephron","PMC8809891","elife-73114-fig4","1","um"
"nephron","PMC8836278","ijms-23-01384-g003","100","um"
"nephron","PMC8460836","41467_2021_25050_Fig4_HTML","10","um"
"islet of Langerhans","PMC8465555","ijms-22-10159-g003","100","um"
"nephron","PMC8465555","ijms-22-10159-g003","100","um"
"red pulp of spleen","PMC8483990","gr12","0.2","mm"
"nephron","PMC8507493","LSA-2021-01092_FigS7","20","um"
"nephron","PMC8507493","LSA-2021-01092_FigS7","20","um"
"crypt of Lieberkuhn of large intestine","PMC8508681","ijms-22-10278-g002","50","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"inner medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"cortical collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"descending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"outer medullary collecting duct","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"thick ascending limb of loop of Henle","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"nephron","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"nephron","PMC8528753","424_2021_2608_Fig4_HTML","200","um"
"nephron","PMC8528753","424_2021_2608_Fig4_HTML","50","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g003","50","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g003","100","um"
"prostate glandular acinus","PMC8556987","13048_2021_883_Fig4_HTML","26","um"
"crypt of Lieberkuhn of large intestine","PMC8563937","42003_2021_2765_Fig1_HTML","50","um"
"crypt of Lieberkuhn of large intestine","PMC8563937","42003_2021_2765_Fig1_HTML","10","um"
"crypt of Lieberkuhn of large intestine","PMC8615656","biomedicines-09-01711-g004","250","um"
"descending limb of loop of Henle","PMC8615656","biomedicines-09-01711-g004","250","um"
"papillary layer of dermis","PMC8615656","biomedicines-09-01711-g004","250","um"
"white pulp of spleen","PMC8616509","cells-10-02993-g004","100","um"
"red pulp of spleen","PMC8616509","cells-10-02993-g004","100","um"
"liver lobule","PMC8645333","LSA-2021-01189_Fig7","50","um"
"intestinal villus","PMC8666274","CPR-54-e13145-g008","600","um"
"intestinal villus","PMC8666274","CPR-54-e13145-g008","50","um"
"intestinal villus","PMC8666274","CPR-54-e13145-g008","20","um"
"intestinal villus","PMC8666274","CPR-54-e13145-g008","100","um"
"intestinal villus","PMC8685424","fphys-12-760163-g002","50","um"
"pancreatic acinus","PMC8739520","fendo-12-772925-g001","100","um"
"descending limb of loop of Henle","PMC8758291","CDTP2022-6806427.005","500","nm"
"crypt of Lieberkuhn of large intestine","PMC8807557","fcell-09-803419-g003","200","um"
"nephron","PMC8809461","fcell-09-754054-g001","2","um"
"nephron","PMC8809461","fcell-09-754054-g001","5","um"
"nephron","PMC8809461","fcell-09-754054-g001","5","um"
"red pulp of spleen","PMC8466012","jpm-11-00905-g002","50","um"
"descending limb of loop of Henle","PMC8489414","peerj-09-12160-g015","100","um"
"papillary layer of dermis","PMC8496155","PHY2-9-e15060-g003","500","um"
"papillary layer of dermis","PMC8496155","PHY2-9-e15060-g003","500","um"
"papillary layer of dermis","PMC8496155","PHY2-9-e15060-g003","20","um"
"papillary layer of dermis","PMC8496155","PHY2-9-e15060-g003","20","um"
"intestinal villus","PMC8537219","toxins-13-00736-g001","200","um"
"intestinal villus","PMC8537219","toxins-13-00736-g001","100","um"
"crypt of Lieberkuhn of large intestine","PMC8537219","toxins-13-00736-g001","200","um"
"crypt of Lieberkuhn of large intestine","PMC8537219","toxins-13-00736-g001","100","um"
"red pulp of spleen","PMC8538323","viruses-13-02002-g005","50","um"
"red pulp of spleen","PMC8538323","viruses-13-02002-g005","200","um"
"red pulp of spleen","PMC8538323","viruses-13-02002-g005","100","um"
"white pulp of spleen","PMC8538323","viruses-13-02002-g005","50","um"
"white pulp of spleen","PMC8538323","viruses-13-02002-g005","200","um"
"white pulp of spleen","PMC8538323","viruses-13-02002-g005","100","um"
"nephron","PMC8550236","sciadv.abf6063-f1","50","um"
"nephron","PMC8550236","sciadv.abf6063-f1","15","um"
"intestinal villus","PMC8630104","41418_2021_816_Fig2_HTML","200","um"
"papillary layer of dermis","PMC8635740","ABPID9-000005-046103_1-g004","500","um"
"papillary layer of dermis","PMC8635740","ABPID9-000005-046103_1-g004","500","um"
"papillary layer of dermis","PMC8635740","ABPID9-000005-046103_1-g004","200","um"
"nephron","PMC8708520","ijms-22-13412-g009","10","um"
"nephron","PMC8758943","gr4","50","um"
"nephron","PMC8758943","gr4","2","mm"
"nephron","PMC8758943","gr4","100","um"
"cortical collecting duct","PMC8492876","41598_2021_98970_Fig1_HTML","50","um"
"papillary layer of dermis","PMC8511326","fgene-12-757350-g001","100","um"
"white pulp of spleen","PMC8512758","polymers-13-03382-g004","500","um"
"white pulp of spleen","PMC8512758","polymers-13-03382-g004","100","um"
"white pulp of spleen","PMC8512758","polymers-13-03382-g004","100","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","200","nm"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","2","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","2","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","100","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","100","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","100","um"
"epidermal ridge of digit","PMC8538037","nanomaterials-11-02724-g001","50","um"
"intestinal villus","PMC8549173","13046_2021_2106_Fig1_HTML","100","um"
"intestinal villus","PMC8549173","13046_2021_2106_Fig1_HTML","100","um"
"intestinal villus","PMC8583575","cancers-13-05565-g001","50","um"
"nephron","PMC8627553","joces-134-259206-g4","5","um"
"nephron","PMC8627553","joces-134-259206-g4","20","um"
"nephron","PMC8627553","joces-134-259206-g4","1","um"
"alveolus of lung","PMC8650590","fbioe-09-800684-g005","50","um"
"red pulp of spleen","PMC8650590","fbioe-09-800684-g005","50","um"
"white pulp of spleen","PMC8650590","fbioe-09-800684-g005","50","um"
"intestinal villus","PMC8701163","foods-10-03126-g003","50","mm"
"liver lobule","PMC8701163","foods-10-03126-g003","50","mm"
"islet of Langerhans","PMC8465555","ijms-22-10159-g006","100","um"
"nephron","PMC8465555","ijms-22-10159-g006","100","um"
